barra	utm_x	utm_y
B_8513	-466354701	-235297138
B_8511	-466359270	-235293670
B_8510	-466359563	-235294370
B_8509	-466359874	-235295639
B_8508	-466361963	-235301825
B_8507	-466362413	-235303009
B_8506	-466367509	-235293764
B_8505	-466366951	-235293906
B_8504	-466363683	-235294667
B_8503	-466365643	-235294134
B_8502	-466365733	-235294215
B_8501	-466367774	-235285073
B_8500	-466367061	-235283708
B_8498	-466367400	-235292577
B_8497	-466367457	-235292800
B_8496	-466368563	-235293484
B_8495	-466369353	-235293192
B_8494	-466369443	-235293273
B_8493	-466370273	-235293054
B_8492	-466370251	-235293056
B_8491	-466370909	-235292994
B_8490	-466371595	-235293069
B_8489	-466372598	-235295046
B_8488	-466372099	-235294238
B_8487	-466372703	-235296508
B_8486	-466373122	-235296289
B_8485	-466373082	-235293785
B_8484	-466373171	-235293866
B_8483	-466371398	-235292679
B_8482	-466373218	-235292224
B_8481	-466379887	-235290454
B_8480	-466376958	-235291206
B_8479	-466375009	-235299897
B_8478	-466373413	-235296860
B_8477	-466373404	-235296843
B_8476	-466374115	-235298109
B_8475	-466374204	-235298189
B_8474	-466375523	-235301074
B_8473	-466375612	-235301154
B_8472	-466376113	-235302142
B_8471	-466377447	-235304506
B_8470	-466377025	-235304273
B_8469	-466377238	-235304199
B_8468	-466377672	-235304949
B_8467	-466377741	-235305672
B_8466	-466378099	-235303485
B_8465	-466378188	-235303566
B_8464	-466378133	-235306194
B_8463	-466377954	-235305600
B_8462	-466378280	-235306271
B_8461	-466379062	-235307856
B_8459	-466378894	-235282164
B_8458	-466379629	-235284686
B_8457	-466379719	-235284766
B_8456	-466380734	-235287645
B_8455	-466380938	-235288617
B_8454	-466381651	-235290525
B_8453	-466381450	-235290166
B_8452	-466380942	-235288637
B_8451	-466381350	-235289987
B_8450	-466382070	-235291750
B_8449	-466382063	-235291731
B_8448	-466382961	-235293985
B_8447	-466382362	-235292595
B_8446	-466384776	-235289147
B_8445	-466384867	-235289227
Bmi_3523	-466386037	-235288948
Bmi_3510	-466398091	-235289772
Bmi_3507	-466398075	-235289772
Bmi_3502	-466385603	-235313267
Bmi_3501	-466385586	-235313267
Bmi_3497	-466396599	-235274520
Bmi_3495	-466386032	-235288948
Bmi_3493	-466355954	-235316229
Bmi_3491	-466356597	-235316096
