rede;barra;vnom_kv;utm_x;utm_y;rede_id;barra_id;
CAI  0103;B_1381;1.38E+001;-466309688;-235290518;3270;2716;
CAI  0103;B_1380;1.38E+001;-466291883;-235296118;3270;2717;
CAI  0103;B_1379;1.38E+001;-466290365;-235295709;3270;2718;
CAI  0103;B_1378;1.38E+001;-466290130;-235295646;3270;2719;
CAI  0103;B_1377;1.38E+001;-466287751;-235296013;3270;2720;
CAI  0103;B_1376;1.38E+001;-466286536;-235296319;3270;2721;
CAI  0103;B_1374;1.38E+001;-466290200;-235295327;3270;2722;
CAI  0103;B_1373;1.38E+001;-466289603;-235295504;3270;2723;
CAI  0103;B_1372;1.38E+001;-466275290;-235281209;3270;2724;
CAI  0103;B_1371;1.38E+001;-466274820;-235281325;3270;2725;
CAI  0103;B_1370;1.38E+001;-466274759;-235281341;3270;2726;
CAI  0103;B_1369;1.38E+001;-466273245;-235280671;3270;2727;
CAI  0103;B_1368;1.38E+001;-466271412;-235279895;3270;2728;
CAI  0103;B_1367;1.38E+001;-466233337;-235255509;3270;2729;
CAI  0103;B_1366;1.38E+001;-466234899;-235255445;3270;2730;
CAI  0103;B_1365;1.38E+001;-466235032;-235255440;3270;2731;
CAI  0103;B_1364;1.38E+001;-466236855;-235255365;3270;2732;
CAI  0103;B_1363;1.38E+001;-466236951;-235255362;3270;2733;
CAI  0103;B_1362;1.38E+001;-466238809;-235255285;3270;2734;
CAI  0103;B_1361;1.38E+001;-466240568;-235255214;3270;2735;
CAI  0103;B_1360;1.38E+001;-466252540;-235266731;3270;2736;
CAI  0103;B_1359;1.38E+001;-466252474;-235265868;3270;2737;
CAI  0103;B_1358;1.38E+001;-466252347;-235255560;3270;2738;
CAI  0103;B_1357;1.38E+001;-466252430;-235257946;3270;2739;
CAI  0103;B_1356;1.38E+001;-466252534;-235260935;3270;2740;
CAI  0103;B_1355;1.38E+001;-466252565;-235261806;3270;2741;
CAI  0103;B_1354;1.38E+001;-466257709;-235294444;3270;2742;
CAI  0103;B_1353;1.38E+001;-466258001;-235307081;3270;2743;
CAI  0103;B_1352;1.38E+001;-466258134;-235305297;3270;2744;
CAI  0103;B_1351;1.38E+001;-466257919;-235303563;3270;2745;
CAI  0103;B_1350;1.38E+001;-466258759;-235266335;3270;2746;
CAI  0103;B_1349;1.38E+001;-466258818;-235266361;3270;2747;
CAI  0103;B_1348;1.38E+001;-466260593;-235267170;3270;2748;
CAI  0103;B_1347;1.38E+001;-466262359;-235267974;3270;2749;
CAI  0103;B_1346;1.38E+001;-466263430;-235268463;3270;2750;
CAI  0103;B_1345;1.38E+001;-466265971;-235269621;3270;2751;
CAI  0103;B_1344;1.38E+001;-466267342;-235270246;3270;2752;
CAI  0103;B_1343;1.38E+001;-466269215;-235271100;3270;2753;
CAI  0103;B_1342;1.38E+001;-466257567;-235273637;3270;2754;
CAI  0103;B_1341;1.38E+001;-466257701;-235273698;3270;2755;
CAI  0103;B_1340;1.38E+001;-466258669;-235274141;3270;2756;
CAI  0103;B_1339;1.38E+001;-466260440;-235274950;3270;2757;
CAI  0103;B_1338;1.38E+001;-466264762;-235302498;3270;2758;
CAI  0103;B_1337;1.38E+001;-466263709;-235304495;3270;2759;
CAI  0103;B_1336;1.38E+001;-466265488;-235301197;3270;2760;
CAI  0103;B_1335;1.38E+001;-466266830;-235298439;3270;2761;
CAI  0103;B_1334;1.38E+001;-466266836;-235298427;3270;2762;
CAI  0103;B_1333;1.38E+001;-466268013;-235296142;3270;2763;
CAI  0103;B_1332;1.38E+001;-466268138;-235295883;3270;2764;
CAI  0103;B_1331;1.38E+001;-466268582;-235294961;3270;2765;
CAI  0103;B_1330;1.38E+001;-466270715;-235301727;3270;2766;
CAI  0103;B_1329;1.38E+001;-466269395;-235304147;3270;2767;
CAI  0103;B_1327;1.38E+001;-466274926;-235293648;3270;2768;
CAI  0103;B_1326;1.38E+001;-466268584;-235294956;3270;2769;
CAI  0103;B_1325;1.38E+001;-466268709;-235294719;3270;2770;
CAI  0103;B_1324;1.38E+001;-466268730;-235294681;3270;2771;
CAI  0103;B_1323;1.38E+001;-466268828;-235294498;3270;2772;
CAI  0103;B_1322;1.38E+001;-466269638;-235292965;3270;2773;
CAI  0103;B_1321;1.38E+001;-466270211;-235291695;3270;2774;
CAI  0103;B_1320;1.38E+001;-466270348;-235291448;3270;2775;
