
SYMMETRICAL COMPONENT PHASE-PHASE VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1156     12,99          0    0,00851    0,06549 1,875E-015 1,443E-014
1161     12,99          0   0,008525    0,06561 1,137E-015 8,75E-015
1155     12,99          0   0,008608    0,06628 2,046E-015 1,576E-014
2999     13,13          0   0,002707    0,02061 1,655E-015 1,261E-014
2825     13,15          0   0,003315    0,02522 2,096E-015 1,595E-014
2288     13,16          0   0,002966    0,02255 1,592E-015 1,21E-014
1012     13,01          0   0,009995    0,07682 1,592E-015 1,223E-014
1009     13,01          0   0,009836    0,07558 8,198E-016 6,299E-015
2004     13,06          0   0,008171    0,06258 1,364E-015 1,045E-014
2002     13,06          0   0,008197    0,06278 1,364E-015 1,045E-014
38       13,04          0   0,007085    0,05432 1,875E-015 1,437E-014
32       13,04          0   0,007088    0,05434 9,095E-016 6,972E-015
579         13          0   0,006853    0,05272 1,592E-015 1,224E-014
538      13,01          0   0,006883    0,05291 8,198E-016 6,302E-015
1170     12,98          0   0,008683    0,06687 1,655E-015 1,275E-014
2998     13,13          0   0,002707    0,02061 1,224E-015 9,324E-015
3004     13,13          0   0,002697    0,02054 1,819E-015 1,386E-014
2824     13,14          0   0,003337    0,02539 1,224E-015 9,315E-015
2296     13,15          0    0,00298    0,02265 1,875E-015 1,425E-014
1011     13,01          0    0,01017    0,07817 1,364E-015 1,049E-014
2007     13,06          0   0,008226      0,063 1,592E-015 1,219E-014
37       13,04          0   0,007085    0,05432 1,438E-015 1,103E-014
33       13,04          0   0,007088    0,05434 1,592E-015 1,22E-014
618         13          0   0,006853    0,05272 1,137E-015 8,745E-015
1169     12,98          0   0,008683    0,06687 1,655E-015 1,275E-014
1167     12,98          0   0,008688    0,06692 2,046E-015 1,576E-014
2997     13,13          0   0,002707    0,02061 1,875E-015 1,428E-014
3003     13,12          0   0,002691    0,02051 1,592E-015 1,213E-014
2805     13,14          0   0,003357    0,02554 2,046E-015 1,557E-014
2295     13,15          0    0,00298    0,02265 1,655E-015 1,258E-014
2287     13,15          0   0,002993    0,02276 2,046E-015 1,556E-014
1008        13          0    0,01029     0,0791 9,095E-016 6,994E-015
2006     13,06          0   0,008226      0,063 2,096E-015 1,606E-014
2009     13,06          0   0,008245    0,06315 1,819E-015 1,393E-014
36       13,04          0   0,007082     0,0543 1,655E-015 1,269E-014
617         13          0   0,006853    0,05272 1,592E-015 1,224E-014
571         13          0   0,006848    0,05268 1,655E-015 1,273E-014
2996     13,13          0   0,002707    0,02061 2,096E-015 1,596E-014
3002     13,12          0   0,002685    0,02046 1,438E-015 1,096E-014
2989     13,12          0   0,002691    0,02051 2,046E-015 1,559E-014
2806     13,14          0   0,003378     0,0257 1,364E-015 1,038E-014
2302     13,15          0   0,003005    0,02285 2,096E-015 1,594E-014
1007        13          0    0,01025    0,07883 1,592E-015 1,224E-014
1006        13          0    0,01036    0,07967 1,875E-015 1,442E-014
2008     13,06          0   0,008245    0,06315 1,592E-015 1,219E-014
2011     13,06          0   0,008253    0,06321 1,819E-015 1,393E-014
35       13,04          0   0,007079    0,05428 2,046E-015 1,569E-014
616         13          0   0,006853    0,05272 1,224E-015 9,419E-015
570         13          0   0,006838    0,05262 2,046E-015 1,575E-014
1110     12,98          0   0,008683    0,06687 6,821E-016 5,253E-015
1112     12,98          0   0,008703    0,06703 1,137E-015 8,756E-015
2958     13,13          0   0,002707    0,02061 2,096E-015 1,596E-014
2982     13,12          0   0,002679    0,02042 2,096E-015 1,598E-014
2804     13,14          0   0,003389    0,02579 1,364E-015 1,038E-014
2301     13,15          0   0,003006    0,02285 1,592E-015 1,21E-014
2299     13,15          0   0,003005    0,02285 2,096E-015 1,594E-014
992         13          0    0,01023     0,0787 2,046E-015 1,575E-014
950         13          0    0,01025    0,07883 1,655E-015 1,273E-014
1002        13          0    0,01036    0,07967 2,274E-015 1,749E-014
2010     13,06          0   0,008257    0,06324 1,137E-015 8,708E-015
2001     13,06          0    0,00826    0,06326 2,034E-015 1,558E-014
34       13,04          0   0,007075    0,05425 1,438E-015 1,103E-014
559      12,99          0   0,006831    0,05257 1,592E-015 1,225E-014
1113     12,98          0   0,008683    0,06687 1,875E-015 1,444E-014
1111     12,98          0   0,008755    0,06745 1,655E-015 1,275E-014
2954     13,13          0   0,002707    0,02061 1,592E-015 1,212E-014
2808     13,14          0   0,003399    0,02587 1,592E-015 1,211E-014
2298     13,15          0   0,003005    0,02285 1,137E-015 8,645E-015
994         13          0    0,01025    0,07882 1,224E-015 9,42E-015
998         13          0    0,01036    0,07967 1,592E-015 1,224E-014
1004        13          0    0,01037    0,07972 1,224E-015 9,417E-015
2016     13,06          0   0,008272    0,06336 1,655E-015 1,268E-014
60       13,04          0   0,007069    0,05422 1,592E-015 1,221E-014
569      12,99          0   0,006822    0,05252 2,046E-015 1,575E-014
1114     12,98          0   0,008683    0,06687 1,875E-015 1,444E-014
1115     12,98          0   0,008835    0,06809 2,239E-015 1,726E-014
2944     13,13          0   0,002707    0,02061 1,655E-015 1,261E-014
2943     13,13          0   0,002707    0,02061 2,096E-015 1,596E-014
2969     13,12          0   0,002677    0,02041 1,017E-015 7,753E-015
2807     13,14          0   0,003399    0,02587 1,819E-015 1,384E-014
2810     13,14          0   0,003405    0,02591 1,875E-015 1,427E-014
2232     13,15          0   0,003006    0,02286 1,819E-015 1,383E-014
951      12,99          0    0,01021    0,07859 1,592E-015 1,225E-014
993      7,506          0          0          0         0         0
949         13          0    0,01025    0,07882 1,819E-015 1,399E-014
997         13          0    0,01036    0,07967 1,875E-015 1,442E-014
1000        13          0    0,01036    0,07967 2,096E-015 1,612E-014
1003        13          0    0,01037    0,07977 1,364E-015 1,049E-014
2015     13,06          0   0,008272    0,06336 1,655E-015 1,268E-014
2013     13,06          0   0,008273    0,06337 1,592E-015 1,219E-014
59       13,04          0   0,007069    0,05422 1,364E-015 1,046E-014
568      12,99          0   0,006815    0,05248 1,655E-015 1,275E-014
1183     12,98          0   0,008683    0,06687 1,224E-015 9,43E-015
1182     12,98          0    0,00884    0,06813 1,875E-015 1,445E-014
2942     13,13          0   0,002706    0,02061 1,875E-015 1,428E-014
2941     13,13          0   0,002706    0,02061 1,875E-015 1,428E-014
2970     13,12          0   0,002676     0,0204 1,819E-015 1,387E-014
2809     13,14          0   0,003405    0,02591 1,364E-015 1,038E-014
2812     13,14          0   0,003432    0,02613 1,655E-015 1,26E-014
2231     13,15          0   0,003021    0,02298 1,655E-015 1,259E-014
2235     13,15          0   0,003005    0,02285 1,137E-015 8,645E-015
948         13          0    0,01024    0,07881 1,592E-015 1,224E-014
999         13          0    0,01036    0,07967 1,833E-015 1,41E-014
926         13          0    0,01047    0,08055 1,875E-015 1,442E-014
58       13,04          0   0,007065     0,0542 2,096E-015 1,608E-014
567      12,98          0   0,006808    0,05244 1,875E-015 1,444E-014
2967     13,12          0   0,002676     0,0204 1,655E-015 1,262E-014
