
LINE-GROUND and LINE-LINE VOLTAGES BY BUS & NODE

Bus  Node    VLN (kV)   Angle      pu     Base kV    Node-Node   VLL (kV)  Angle      pu

   - 2       7,5959 /_ -154,5         0     0,000        2-3     13,159 /_ -124,5         0
   - 3       7,6003 /_   85,5         0     0,000        3-1     13,164 /_  115,5         0
2226 1       7,6074 /_  -34,5         0     0,000        1-2     13,174 /_   -4,6         0
   - 2       7,6035 /_ -154,6         0     0,000        2-3     13,172 /_ -124,5         0
   - 3       7,6075 /_   85,5         0     0,000        3-1     13,177 /_  115,5         0
930  1       7,5407 /_  -35,5         0     0,000        1-2     13,056 /_   -5,5         0
   - 2       7,5413 /_ -155,4         0     0,000        2-3     13,064 /_ -125,4         0
   - 3       7,5442 /_   84,6         0     0,000        3-1      13,07 /_  114,5         0
1978 1       7,5468 /_  -35,5         0     0,000        1-2     13,067 /_   -5,5         0
   - 2       7,5464 /_ -155,4         0     0,000        2-3     13,073 /_ -125,4         0
   - 3       7,5497 /_   84,6         0     0,000        3-1     13,079 /_  114,5         0
9 .. 1       7,5435 /_  -35,5         0     0,000        1-2     13,061 /_   -5,5         0
   - 2       7,5426 /_ -155,4         0     0,000        2-3     13,066 /_ -125,4         0
   - 3        7,546 /_   84,6         0     0,000        3-1     13,073 /_  114,5         0
432  1       7,5369 /_  -35,5         0     0,000        1-2     13,049 /_   -5,5         0
   - 2       7,5357 /_ -155,5         0     0,000        2-3     13,054 /_ -125,5         0
   - 3       7,5391 /_   84,5         0     0,000        3-1     13,061 /_  114,5         0
1106 1       7,5357 /_  -35,6         0     0,000        1-2     13,048 /_   -5,5         0
   - 2       7,5362 /_ -155,5         0     0,000        2-3     13,055 /_ -125,5         0
   - 3       7,5391 /_   84,5         0     0,000        3-1     13,061 /_  114,5         0
2925 1       7,5878 /_  -34,2         0     0,000        1-2     13,139 /_   -4,2         0
   - 2       7,5849 /_ -154,2         0     0,000        2-3      13,14 /_ -124,2         0
   - 3       7,5881 /_   85,8         0     0,000        3-1     13,144 /_  115,8         0
2835 1       7,6001 /_  -34,5         0     0,000        1-2     13,161 /_   -4,5         0
   - 2       7,5959 /_ -154,5         0     0,000        2-3     13,159 /_ -124,5         0
   - 3       7,6002 /_   85,5         0     0,000        3-1     13,164 /_  115,5         0
   - 4    0,0046706 /_ -119,5         0     0,000
2225 1       7,6039 /_  -34,6         0     0,000        1-2     13,168 /_   -4,6         0
   - 2       7,5998 /_ -154,6         0     0,000        2-3     13,166 /_ -124,6         0
   - 3       7,6039 /_   85,4         0     0,000        3-1      13,17 /_  115,4         0
934  1       7,5395 /_  -35,5         0     0,000        1-2     13,054 /_   -5,5         0
   - 2       7,5403 /_ -155,5         0     0,000        2-3     13,062 /_ -125,4         0
   - 3       7,5432 /_   84,6         0     0,000        3-1     13,068 /_  114,5         0
1977 1       7,5446 /_  -35,6         0     0,000        1-2     13,063 /_   -5,5         0
   - 2       7,5443 /_ -155,5         0     0,000        2-3     13,069 /_ -125,5         0
   - 3       7,5476 /_   84,5         0     0,000        3-1     13,076 /_  114,5         0
1105 1       7,5265 /_  -35,6         0     0,000        1-2     13,032 /_   -5,6         0
   - 2       7,5276 /_ -155,5         0     0,000        2-3      13,04 /_ -125,5         0
   - 3       7,5304 /_   84,5         0     0,000        3-1     13,046 /_  114,4         0
3029 1       7,5877 /_  -34,2         0     0,000        1-2     13,139 /_   -4,2         0
   - 2       7,5848 /_ -154,2         0     0,000        2-3      13,14 /_ -124,2         0
   - 3       7,5879 /_   85,8         0     0,000        3-1     13,143 /_  115,8         0
   - 4     0,001457 /_ -161,8         0     0,000
2224 1       7,6027 /_  -34,6         0     0,000        1-2     13,166 /_   -4,6         0
   - 2       7,5985 /_ -154,6         0     0,000        2-3     13,163 /_ -124,6         0
   - 3       7,6026 /_   85,4         0     0,000        3-1     13,168 /_  115,4         0
933  1       7,5322 /_  -35,6         0     0,000        1-2     13,042 /_   -5,5         0
   - 2       7,5338 /_ -155,5         0     0,000        2-3     13,051 /_ -125,5         0
   - 3       7,5365 /_   84,5         0     0,000        3-1     13,056 /_  114,5         0
1976 1       7,5421 /_  -35,6         0     0,000        1-2     13,058 /_   -5,6         0
   - 2       7,5418 /_ -155,5         0     0,000        2-3     13,065 /_ -125,5         0
   - 3       7,5453 /_   84,5         0     0,000        3-1     13,072 /_  114,4         0
7 .. 1       7,5393 /_  -35,5         0     0,000        1-2     13,053 /_   -5,5         0
   - 2       7,5381 /_ -155,5         0     0,000        2-3     13,058 /_ -125,4         0
   - 3       7,5416 /_   84,6         0     0,000        3-1     13,066 /_  114,5         0
431  1       7,5283 /_  -35,6         0     0,000        1-2     13,034 /_   -5,6         0
   - 2       7,5267 /_ -155,5         0     0,000        2-3     13,039 /_ -125,5         0
   - 3       7,5302 /_   84,5         0     0,000        3-1     13,046 /_  114,4         0
1104 1       7,5161 /_  -35,7         0     0,000        1-2     13,014 /_   -5,6         0
   - 2       7,5179 /_ -155,6         0     0,000        2-3     13,023 /_ -125,6         0
   - 3       7,5205 /_   84,4         0     0,000        3-1     13,028 /_  114,4         0
2833 1          7,6 /_  -34,5         0     0,000        1-2     13,161 /_   -4,5         0
   - 2       7,5958 /_ -154,5         0     0,000        2-3     13,159 /_ -124,5         0
   - 3       7,6002 /_   85,5         0     0,000        3-1     13,164 /_  115,5         0
   - 4    0,0046705 /_ -119,5         0     0,000
2228 1       7,6011 /_  -34,7         0     0,000        1-2     13,163 /_   -4,7         0
   - 2       7,5968 /_ -154,7         0     0,000        2-3      13,16 /_ -124,7         0
   - 3       7,6009 /_   85,3         0     0,000        3-1     13,165 /_  115,3         0
932  1        7,524 /_  -35,6         0     0,000        1-2     13,028 /_   -5,6         0
   - 2       7,5265 /_ -155,6         0     0,000        2-3     13,038 /_ -125,5         0
   - 3       7,5291 /_   84,5         0     0,000        3-1     13,043 /_  114,4         0
1980 1       7,5412 /_  -35,6         0     0,000        1-2     13,057 /_   -5,6         0
   - 2        7,541 /_ -155,5         0     0,000        2-3     13,063 /_ -125,5         0
   - 3       7,5445 /_   84,5         0     0,000        3-1     13,071 /_  114,4         0
1108 1       7,5124 /_  -35,7         0     0,000        1-2     13,008 /_   -5,7         0
   - 2       7,5145 /_ -155,6         0     0,000        2-3     13,017 /_ -125,6         0
   - 3        7,517 /_   84,4         0     0,000        3-1     13,022 /_  114,3         0
3034 1       7,5876 /_  -34,2         0     0,000        1-2     13,139 /_   -4,2         0
   - 2       7,5847 /_ -154,2         0     0,000        2-3     13,139 /_ -124,2         0
   - 3       7,5878 /_   85,8         0     0,000        3-1     13,143 /_  115,8         0
   - 4     0,001457 /_ -161,8         0     0,000
2832 1       7,5992 /_  -34,5         0     0,000        1-2      13,16 /_   -4,5         0
   - 2       7,5949 /_ -154,5         0     0,000        2-3     13,157 /_ -124,5         0
   - 3       7,5994 /_   85,5         0     0,000        3-1     13,163 /_  115,5         0
2823 1          7,6 /_  -34,5         0     0,000        1-2     13,161 /_   -4,5         0
   - 2       7,5958 /_ -154,5         0     0,000        2-3     13,159 /_ -124,5         0
   - 3       7,6002 /_   85,5         0     0,000        3-1     13,164 /_  115,5         0
   - 4    0,0046705 /_ -119,5         0     0,000
2285 1        7,601 /_  -34,7         0     0,000        1-2     13,163 /_   -4,7         0
   - 2       7,5968 /_ -154,7         0     0,000        2-3      13,16 /_ -124,7         0
   - 3       7,6008 /_   85,3         0     0,000        3-1     13,165 /_  115,3         0
   - 4    0,0049233 /_ -126,7         0     0,000
936  1       7,5211 /_  -35,7         0     0,000        1-2     13,023 /_   -5,6         0
   - 2       7,5239 /_ -155,6         0     0,000        2-3     13,033 /_ -125,6         0
   - 3       7,5265 /_   84,4         0     0,000        3-1     13,039 /_  114,4         0
1979 1       7,5393 /_  -35,6         0     0,000        1-2     13,054 /_   -5,6         0
   - 2       7,5391 /_ -155,6         0     0,000        2-3      13,06 /_ -125,6         0
   - 3       7,5427 /_   84,4         0     0,000        3-1     13,067 /_  114,4         0
5 .. 1       7,5346 /_  -35,6         0     0,000        1-2     13,045 /_   -5,5         0
   - 2        7,533 /_ -155,5         0     0,000        2-3      13,05 /_ -125,5         0
   - 3       7,5367 /_   84,5         0     0,000        3-1     13,057 /_  114,5         0
428  1       7,5186 /_  -35,7         0     0,000        1-2     13,017 /_   -5,6         0
   - 2       7,5165 /_ -155,6         0     0,000        2-3     13,021 /_ -125,6         0
   - 3       7,5202 /_   84,4         0     0,000        3-1     13,029 /_  114,4         0
1107 1       7,5044 /_  -35,8         0     0,000        1-2     12,995 /_   -5,7         0
   - 2        7,507 /_ -155,7         0     0,000        2-3     13,004 /_ -125,7         0
   - 3       7,5095 /_   84,3         0     0,000        3-1     13,009 /_  114,3         0
3033 1       7,5876 /_  -34,2         0     0,000        1-2     13,139 /_   -4,2         0
   - 2       7,5847 /_ -154,2         0     0,000        2-3     13,139 /_ -124,2         0
   - 3       7,5878 /_   85,8         0     0,000        3-1     13,143 /_  115,8         0
3031 1       7,5861 /_  -34,2         0     0,000        1-2     13,136 /_   -4,2         0
   - 2       7,5832 /_ -154,2         0     0,000        2-3     13,137 /_ -124,2         0
   - 3       7,5864 /_   85,8         0     0,000        3-1     13,141 /_  115,8         0
   - 4    0,0011381 /_ -172,3         0     0,000
2831 1       7,5981 /_  -34,5         0     0,000        1-2     13,158 /_   -4,5         0
   - 2       7,5938 /_ -154,5         0     0,000        2-3     13,155 /_ -124,5         0
   - 3       7,5983 /_   85,5         0     0,000        3-1     13,161 /_  115,5         0
935  1       7,5149 /_  -35,7         0     0,000        1-2     13,013 /_   -5,7         0
   - 2       7,5184 /_ -155,6         0     0,000        2-3     13,024 /_ -125,6         0
   - 3       7,5208 /_   84,4         0     0,000        3-1     13,029 /_  114,3         0
1981 1       7,5381 /_  -35,7         0     0,000        1-2     13,051 /_   -5,6         0
   - 2       7,5379 /_ -155,6         0     0,000        2-3     13,058 /_ -125,6         0
   - 3       7,5415 /_   84,4         0     0,000        3-1     13,066 /_  114,4         0
4 .. 1       7,5329 /_  -35,6         0     0,000        1-2     13,042 /_   -5,5         0
   - 2       7,5312 /_ -155,5         0     0,000        2-3     13,047 /_ -125,5         0
   - 3       7,5349 /_   84,5         0     0,000        3-1     13,054 /_  114,5         0
425  1       7,5152 /_  -35,7         0     0,000        1-2     13,011 /_   -5,7         0
   - 2        7,513 /_ -155,6         0     0,000        2-3     13,015 /_ -125,6         0
   - 3       7,5167 /_   84,4         0     0,000        3-1     13,023 /_  114,4         0
1109 1       7,4996 /_  -35,8         0     0,000        1-2     12,986 /_   -5,7         0
   - 2       7,5025 /_ -155,7         0     0,000        2-3     12,996 /_ -125,7         0
   - 3       7,5049 /_   84,3         0     0,000        3-1     13,001 /_  114,2         0
3032 1       7,5876 /_  -34,2         0     0,000        1-2     13,139 /_   -4,2         0
   - 2       7,5847 /_ -154,2         0     0,000        2-3     13,139 /_ -124,2         0
   - 3       7,5878 /_   85,8         0     0,000        3-1     13,143 /_  115,8         0
3017 1       7,5861 /_  -34,2         0     0,000        1-2     13,136 /_   -4,2         0
   - 2       7,5832 /_ -154,2         0     0,000        2-3     13,137 /_ -124,2         0
   - 3       7,5864 /_   85,8         0     0,000        3-1     13,141 /_  115,8         0
   - 4    0,0011381 /_ -172,3         0     0,000
