
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

3259     48,69          0    0,01196    0,02456 3,305E-009 6,788E-009
58       7,527          0   0,004079     0,0542   0,00183   0,02431
567      7,496          0   0,003931    0,05244    0,0013   0,01734
2967     7,572          0   0,001545     0,0204 0,0006192  0,008177
2974     7,572          0   0,001544    0,02039 0,0006195  0,008182
2962     7,571          0   0,001546    0,02043  0,000632  0,008347
2811     7,585          0   0,001982    0,02613  0,001885   0,02485
2815     7,583          0   0,002005    0,02644  0,001932   0,02548
2230      7,59          0   0,001764    0,02324  0,001782   0,02348
2234     7,593          0   0,001735    0,02285  0,001717   0,02261
947      7,505          0   0,005914    0,07881  0,005007   0,06672
937      7,507          0   0,005981    0,07967  0,005073   0,06758
940      7,507          0   0,006128    0,08163  0,005237   0,06977
1982     7,538          0   0,004776    0,06336  0,003014   0,03999
1984     7,538          0   0,004779     0,0634  0,003017   0,04003
127      7,526          0   0,004077    0,05417  0,001787   0,02374
566      7,496          0   0,003931    0,05244  0,001298   0,01731
1186     7,491          0   0,005106    0,06815  0,004239   0,05659
2961     7,571          0   0,001547    0,02043 0,0006327  0,008356
2814     7,582          0   0,002022    0,02666  0,001967   0,02594
2229     7,588          0   0,001781    0,02347   0,00182   0,02399
2233     7,593          0   0,001735    0,02285  0,001717   0,02261
946      7,505          0   0,005914     0,0788  0,005007   0,06671
939      7,507          0   0,005981    0,07967  0,005073   0,06758
1018     7,507          0   0,006133    0,08169  0,005242   0,06983
1985     7,538          0   0,004776    0,06336  0,003014   0,03999
1983     7,537          0   0,004811    0,06383  0,003048   0,04044
126      7,525          0   0,004075    0,05415  0,001764   0,02344
565      7,496          0   0,003931    0,05244  0,001296   0,01728
537      7,496          0   0,003931    0,05244  0,001298   0,01731
1204     7,491          0   0,005116    0,06829  0,004264   0,05692
1184     7,491          0   0,005106    0,06815  0,004239   0,05659
2972     7,572          0    0,00154    0,02034 0,0006211  0,008203
2960      7,57          0   0,001548    0,02044 0,0006425  0,008487
2813     7,581          0   0,002035    0,02685  0,001995   0,02631
2238     7,588          0   0,001783    0,02349  0,001824   0,02404
2237     7,593          0   0,001735    0,02285  0,001717   0,02261
989      7,502          0   0,005889     0,0785  0,005011   0,06679
996      7,505          0   0,005913    0,07879  0,005006   0,06671
1024     7,507          0   0,005981    0,07967  0,005073   0,06758
1987     7,538          0   0,004776    0,06336  0,003014   0,03999
1988     7,537          0   0,004825    0,06401  0,003061   0,04062
125      7,525          0   0,004074    0,05414  0,001741   0,02314
564      7,495          0   0,003929    0,05242  0,001271   0,01696
536      7,496          0   0,003931    0,05244  0,001298   0,01731
1205     7,491          0   0,005116    0,06829  0,004264   0,05692
1185     7,491          0   0,005122    0,06838  0,004279   0,05713
2986     7,572          0   0,001537     0,0203 0,0006223  0,008218
2959      7,57          0   0,001548    0,02045  0,000647  0,008547
2817      7,58          0   0,002051    0,02705  0,002026   0,02673
2312     7,588          0   0,001783     0,0235  0,001825   0,02405
2236     7,593          0   0,001735    0,02285  0,001717   0,02261
990        7,5          0   0,005872     0,0783  0,005009   0,06678
995      7,506          0          0          0         0         0
945      7,505          0   0,005913    0,07879  0,005006   0,06671
1029     7,507          0   0,006136    0,08174  0,005246   0,06989
1986     7,538          0   0,004776    0,06336  0,003014   0,03999
2021     7,537          0   0,004826    0,06403  0,003062   0,04063
124      7,525          0   0,004073    0,05413  0,001725   0,02293
621      7,494          0   0,003927     0,0524  0,001249   0,01667
1206     7,491          0   0,005116    0,06829  0,004264   0,05692
1188     7,488          0   0,005169    0,06904  0,004393   0,05867
2985     7,572          0   0,001536    0,02028 0,0006225  0,008221
2991     7,572          0   0,001537     0,0203 0,0006223  0,008218
2955     7,569          0   0,001549    0,02046 0,0006538  0,008638
2816      7,58          0   0,002065    0,02724  0,002054    0,0271
2304     7,593          0   0,001735    0,02285  0,001717   0,02261
991      7,497          0   0,005855     0,0781  0,005007   0,06678
987      7,502          0          0          0         0         0
