
BUSES AND NODES IN ACTIVE CIRCUIT: cmc-01p3

                                Coord                                 Number of     Nodes
  Bus      Base kV             (x, y)                      Keep?       Nodes        connected ...

"19991" 138.000          (           NA,            NA )     No           3          1    2    3 
"5088"   13.800          ( 6043218      , 8454187      )     No           3          1    2    3 
"5142"   13.800          ( 6043518      , 8454651      )     No           3          1    2    3 
"5143"   13.800          ( 6043427      , 8454526      )     No           3          1    2    3 
"5144"   13.800          ( 6043336      , 8454615      )     No           3          1    2    3 
"5128"   13.800          ( 6043060      , 8454372      )     No           3          1    2    3 
"5129"   13.800          ( 6043026      , 8454389      )     No           3          1    2    3 
"5087"   13.800          ( 6043196      , 8454148      )     No           3          1    2    3 
"5147"   13.800          ( 6043558      , 8454728      )     No           3          1    2    3 
"5159"   13.800          ( 6042971      , 8454419      )     No           3          1    2    3 
"6047"   13.800          ( 6043147      , 8454055      )     No           3          1    2    3 
"5146"   13.800          ( 6043649      , 8454854      )     No           3          1    2    3 
"5158"   13.800          ( 6042895      , 8454447      )     No           3          1    2    3 
"5084"   13.800          ( 6043084      , 8454067      )     No           2          1    2 
"5090"   13.800          ( 6043197      , 8454036      )     No           3          1    2    3 
"5149"   13.800          ( 6043792      , 8455078      )     No           3          1    2    3 
"5164"   13.800          ( 6042828      , 8454484      )     No           3          1    2    3 
"5804"   13.800          ( 6043112      , 8453906      )     No           3          1    2    3 
"6046"   13.800          ( 6043132      , 8453952      )     No           3          1    2    3 
"5089"   13.800          ( 6043200      , 8454036      )     No           3          1    2    3 
"5148"   13.800          ( 6043828      , 8455146      )     No           3          1    2    3 
"5163"   13.800          ( 6042761      , 8454514      )     No           3          1    2    3 
"6045"   13.800          ( 6042946      , 8454094      )     No           2          1    2 
"5085"   13.800          ( 6043019      , 8454081      )     No           2          1    2 
"5151"   13.800          ( 6043870      , 8455220      )     No           3          1    2    3 
"5131"   13.800          ( 6042699      , 8454541      )     No           3          1    2    3 
"5806"   13.800          ( 6043009      , 8453649      )     No           3          1    2    3 
"5805"   13.800          ( 6043050      , 8453683      )     No           3          1    2    3 
"6044"   13.800          ( 6042817      , 8454125      )     No           2          1    2 
"5150"   13.800          ( 6043859      , 8455362      )     No           3          1    2    3 
"5130"   13.800          ( 6042696      , 8454541      )     No           3          1    2    3 
"5807"   13.800          ( 6042812      , 8453463      )     No           3          1    2    3 
"6043"   13.800          ( 6042708      , 8454168      )     No           2          1    2 
"5153"   13.800          ( 6043861      , 8455437      )     No           3          1    2    3 
"5808"   13.800          ( 6042687      , 8453358      )     No           3          1    2    3 
"6042"   13.800          ( 6042534      , 8454226      )     No           2          1    2 
"5152"   13.800          ( 6043923      , 8455555      )     No           3          1    2    3 
"5844"   13.800          ( 6042643      , 8453318      )     No           3          1    2    3 
"5086"   13.800          ( 6042450      , 8454212      )     No           2          1    2 
"5127"   13.800          ( 6043941      , 8455583      )     No           3          1    2    3 
