
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"3033.2"           ,    0.00000,  7.90121E+0003,  7.96743E+0003
"3033.3"           ,    0.00000,  7.89803E+0003,  7.96743E+0003
"3031.1"           ,    0.00000,  7.90381E+0003,  7.96743E+0003
"3031.2"           ,    0.00000,  7.90085E+0003,  7.96743E+0003
"3031.3"           ,    0.00000,  7.89771E+0003,  7.96743E+0003
"2831.1"           ,    0.00000,  7.92091E+0003,  7.96743E+0003
"2831.2"           ,    0.00000,  7.91971E+0003,  7.96743E+0003
"2831.3"           ,    0.00000,  7.91335E+0003,  7.96743E+0003
"3303.1"           ,    0.00000,  7.89713E+0003,  7.96743E+0003
"3303.2"           ,    0.00000,  7.89205E+0003,  7.96743E+0003
"3303.3"           ,    0.00000,  7.89042E+0003,  7.96743E+0003
"935.1"            ,    0.00000,  7.89260E+0003,  7.96743E+0003
"935.2"            ,    0.00000,  7.88748E+0003,  7.96743E+0003
"935.3"            ,    0.00000,  7.88491E+0003,  7.96743E+0003
"1981.1"           ,    0.00000,  7.89757E+0003,  7.96743E+0003
"1981.2"           ,    0.00000,  7.89130E+0003,  7.96743E+0003
"1981.3"           ,    0.00000,  7.89086E+0003,  7.96743E+0003
"4.1"              ,    0.00000,  7.89257E+0003,  7.96743E+0003
"4.2"              ,    0.00000,  7.88477E+0003,  7.96743E+0003
"4.3"              ,    0.00000,  7.88578E+0003,  7.96743E+0003
"425.1"            ,    0.00000,  7.88703E+0003,  7.96743E+0003
"425.2"            ,    0.00000,  7.88213E+0003,  7.96743E+0003
"425.3"            ,    0.00000,  7.87973E+0003,  7.96743E+0003
"1109.1"           ,    0.00000,  7.88180E+0003,  7.96743E+0003
"1109.2"           ,    0.00000,  7.87616E+0003,  7.96743E+0003
"1109.3"           ,    0.00000,  7.87546E+0003,  7.96743E+0003
"3279.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3279.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3279.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3032.1"           ,    0.00000,  7.90410E+0003,  7.96743E+0003
"3032.2"           ,    0.00000,  7.90121E+0003,  7.96743E+0003
"3032.3"           ,    0.00000,  7.89803E+0003,  7.96743E+0003
"3017.1"           ,    0.00000,  7.90381E+0003,  7.96743E+0003
"3017.2"           ,    0.00000,  7.90085E+0003,  7.96743E+0003
"3017.3"           ,    0.00000,  7.89771E+0003,  7.96743E+0003
"3017.4"           ,    0.00001,  6.61365E-0001,  7.96743E+0003
"3031.4"           ,    0.00001,  6.61365E-0001,  7.96743E+0003
"3016.1"           ,    0.00000,  7.90379E+0003,  7.96743E+0003
"3016.2"           ,    0.00000,  7.90083E+0003,  7.96743E+0003
"3016.3"           ,    0.00000,  7.89770E+0003,  7.96743E+0003
"2830.1"           ,    0.00000,  7.92086E+0003,  7.96743E+0003
"2830.2"           ,    0.00000,  7.91967E+0003,  7.96743E+0003
"2830.3"           ,    0.00000,  7.91330E+0003,  7.96743E+0003
"2285.4"           ,    0.00000,  7.70014E+0003,  7.96743E+0003
"2292.1"           ,    0.00000,  7.92443E+0003,  7.96743E+0003
"2292.2"           ,    0.00000,  7.92314E+0003,  7.96743E+0003
"2292.3"           ,    0.00000,  7.91308E+0003,  7.96743E+0003
"2292.4"           ,    0.00000,  7.70015E+0003,  7.96743E+0003
"938.1"            ,    0.00000,  7.89225E+0003,  7.96743E+0003
"938.2"            ,    0.00000,  7.88712E+0003,  7.96743E+0003
"938.3"            ,    0.00000,  7.88448E+0003,  7.96743E+0003
"1998.1"           ,    0.00000,  7.89757E+0003,  7.96743E+0003
"1998.2"           ,    0.00000,  7.89130E+0003,  7.96743E+0003
"1998.3"           ,    0.00000,  7.89086E+0003,  7.96743E+0003
"1160.1"           ,    0.00000,  7.88177E+0003,  7.96743E+0003
"1160.2"           ,    0.00000,  7.87613E+0003,  7.96743E+0003
"1160.3"           ,    0.00000,  7.87543E+0003,  7.96743E+0003
"3278.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3278.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3278.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3257.1"           ,    0.00000,  7.90778E+0003,  7.96743E+0003
"3257.2"           ,    0.00000,  7.90554E+0003,  7.96743E+0003
"3257.3"           ,    0.00000,  7.90205E+0003,  7.96743E+0003
"3015.1"           ,    0.00000,  7.90345E+0003,  7.96743E+0003
"3015.2"           ,    0.00000,  7.90041E+0003,  7.96743E+0003
"3015.3"           ,    0.00000,  7.89733E+0003,  7.96743E+0003
"2829.1"           ,    0.00000,  7.92078E+0003,  7.96743E+0003
"2829.2"           ,    0.00000,  7.91960E+0003,  7.96743E+0003
"2829.3"           ,    0.00000,  7.91322E+0003,  7.96743E+0003
"2291.1"           ,    0.00000,  7.92465E+0003,  7.96743E+0003
"2291.2"           ,    0.00000,  7.92313E+0003,  7.96743E+0003
"2291.3"           ,    0.00000,  7.91298E+0003,  7.96743E+0003
"2291.4"           ,    0.00000,  7.70029E+0003,  7.96743E+0003
"2286.1"           ,    0.00000,  7.92443E+0003,  7.96743E+0003
"2286.2"           ,    0.00000,  7.92314E+0003,  7.96743E+0003
"2286.3"           ,    0.00000,  7.91308E+0003,  7.96743E+0003
"2286.4"           ,    0.00000,  7.70015E+0003,  7.96743E+0003
"1016.1"           ,    0.00000,  7.89223E+0003,  7.96743E+0003
"1016.2"           ,    0.00000,  7.88711E+0003,  7.96743E+0003
"1016.3"           ,    0.00000,  7.88446E+0003,  7.96743E+0003
"14.1"             ,    0.00000,  7.89207E+0003,  7.96743E+0003
"14.2"             ,    0.00000,  7.88398E+0003,  7.96743E+0003
"14.3"             ,    0.00000,  7.88528E+0003,  7.96743E+0003
